u,v,X,Y,Z
0.140000, 0.480000,14.400000,23.047445,4.200000
0.140000, 0.500000,15.000000,23.056290,4.200000
0.140000, 0.520000,15.600000,23.047445,4.200000
0.140000, 0.540000,16.200000,23.020912,4.200000
0.140000, 0.560000,16.800000,22.976688,4.200000
0.140000, 0.580000,17.400000,22.914776,4.200000
0.140000, 0.600000,18.000000,22.835174,4.200000
0.140000, 0.620000,18.600000,22.737884,4.200000
0.140000, 0.640000,19.200000,22.622903,4.200000
0.140000, 0.660000,19.800000,22.490234,4.200000
0.140000, 0.680000,20.400000,22.339875,4.200000
0.140000, 0.700000,21.000000,22.171828,4.200000
0.140000, 0.720000,21.600000,21.986090,4.200000
0.140000, 0.740000,22.200000,21.782664,4.200000
0.140000, 0.760000,22.800000,21.561549,4.200000
0.140000, 0.780000,23.400000,21.322744,4.200000
0.140000, 0.800000,24.000000,21.066250,4.200000
0.140000, 0.820000,24.600000,20.792066,4.200000
0.140000, 0.840000,25.200000,20.500194,4.200000
0.140000, 0.860000,25.800000,20.190632,4.200000
0.140000, 0.880000,26.400000,19.863381,4.200000
0.140000, 0.900000,27.000000,19.518440,4.200000
0.140000, 0.920000,27.600000,19.155811,4.200000
0.140000, 0.940000,28.200000,18.775492,4.200000
0.140000, 0.960000,28.800000,18.377484,4.200000
0.140000, 0.980000,29.400000,17.961787,4.200000
0.140000, 1.000000,30.000000,17.528400,4.200000
0.160000, 0.000000,0.000000,17.822400,4.800000
0.160000, 0.020000,0.600000,18.292781,4.800000
0.160000, 0.040000,1.200000,18.743963,4.800000
0.160000, 0.060000,1.800000,19.175946,4.800000
0.160000, 0.080000,2.400000,19.588729,4.800000
0.160000, 0.100000,3.000000,19.982314,4.800000
0.160000, 0.120000,3.600000,20.356699,4.800000
0.160000, 0.140000,4.200000,20.711884,4.800000
0.160000, 0.160000,4.800000,21.047871,4.800000
0.160000, 0.180000,5.400000,21.364658,4.800000
0.160000, 0.200000,6.000000,21.662246,4.800000
0.160000, 0.220000,6.600000,21.940635,4.800000
0.160000, 0.240000,7.200000,22.199825,4.800000
0.160000, 0.260000,7.800000,22.439815,4.800000
0.160000, 0.280000,8.400000,22.660606,4.800000
0.160000, 0.300000,9.000000,22.862198,4.800000
0.160000, 0.320000,9.600000,23.044591,4.800000
0.160000, 0.340000,10.200000,23.207785,4.800000
0.160000, 0.360000,10.800000,23.351779,4.800000
0.160000, 0.380000,11.400000,23.476574,4.800000
0.160000, 0.400000,12.000000,23.582170,4.800000
0.160000, 0.420000,12.600000,23.668566,4.800000
0.160000, 0.440000,13.200000,23.735763,4.800000
0.160000, 0.460000,13.800000,23.783762,4.800000
0.160000, 0.480000,14.400000,23.812560,4.800000
0.160000, 0.500000,15.000000,23.822160,4.800000
0.160000, 0.520000,15.600000,23.812560,4.800000
0.160000, 0.540000,16.200000,23.783762,4.800000
0.160000, 0.560000,16.800000,23.735763,4.800000
0.160000, 0.580000,17.400000,23.668566,4.800000
0.160000, 0.600000,18.000000,23.582170,4.800000
0.160000, 0.620000,18.600000,23.476574,4.800000
0.160000, 0.640000,19.200000,23.351779,4.800000
0.160000, 0.660000,19.800000,23.207785,4.800000
0.160000, 0.680000,20.400000,23.044591,4.800000
0.160000, 0.700000,21.000000,22.862198,4.800000
0.160000, 0.720000,21.600000,22.660606,4.800000
0.160000, 0.740000,22.200000,22.439815,4.800000
0.160000, 0.760000,22.800000,22.199825,4.800000
0.160000, 0.780000,23.400000,21.940635,4.800000
0.160000, 0.800000,24.000000,21.662246,4.800000
0.160000, 0.820000,24.600000,21.364658,4.800000
0.160000, 0.840000,25.200000,21.047871,4.800000
0.160000, 0.860000,25.800000,20.711884,4.800000
0.160000, 0.880000,26.400000,20.356699,4.800000
0.160000, 0.900000,27.000000,19.982314,4.800000
0.160000, 0.920000,27.600000,19.588729,4.800000
0.160000, 0.940000,28.200000,19.175946,4.800000
0.160000, 0.960000,28.800000,18.743963,4.800000
0.160000, 0.980000,29.400000,18.292781,4.800000
0.160000, 1.000000,30.000000,17.822400,4.800000
0.180000, 0.000000,0.000000,18.099600,5.400000
0.180000, 0.020000,0.600000,18.606665,5.400000
0.180000, 0.040000,1.200000,19.093034,5.400000
0.180000, 0.060000,1.800000,19.558706,5.400000
0.180000, 0.080000,2.400000,20.003682,5.400000
0.180000, 0.100000,3.000000,20.427961,5.400000
0.180000, 0.120000,3.600000,20.831544,5.400000
0.180000, 0.140000,4.200000,21.214430,5.400000
0.180000, 0.160000,4.800000,21.576619,5.400000
0.180000, 0.180000,5.400000,21.918112,5.400000
0.180000, 0.200000,6.000000,22.238909,5.400000
0.180000, 0.220000,6.600000,22.539009,5.400000
0.180000, 0.240000,7.200000,22.818412,5.400000
0.180000, 0.260000,7.800000,23.077119,5.400000
0.180000, 0.280000,8.400000,23.315129,5.400000
0.180000, 0.300000,9.000000,23.532443,5.400000
0.180000, 0.320000,9.600000,23.729060,5.400000
0.180000, 0.340000,10.200000,23.904981,5.400000
0.180000, 0.360000,10.800000,24.060205,5.400000
0.180000, 0.380000,11.400000,24.194732,5.400000
0.180000, 0.400000,12.000000,24.308563,5.400000
0.180000, 0.420000,12.600000,24.401698,5.400000
0.180000, 0.440000,13.200000,24.474136,5.400000
0.180000, 0.460000,13.800000,24.525877,5.400000
0.180000, 0.480000,14.400000,24.556922,5.400000
0.180000, 0.500000,15.000000,24.567270,5.400000
0.180000, 0.520000,15.600000,24.556922,5.400000
0.180000, 0.540000,16.200000,24.525877,5.400000
0.180000, 0.560000,16.800000,24.474136,5.400000
0.180000, 0.580000,17.400000,24.401698,5.400000
0.180000, 0.600000,18.000000,24.308563,5.400000
0.180000, 0.620000,18.600000,24.194732,5.400000
0.180000, 0.640000,19.200000,24.060205,5.400000
0.180000, 0.660000,19.800000,23.904981,5.400000
0.180000, 0.680000,20.400000,23.729060,5.400000
0.180000, 0.700000,21.000000,23.532443,5.400000
0.180000, 0.720000,21.600000,23.315129,5.400000
0.180000, 0.740000,22.200000,23.077119,5.400000
0.180000, 0.760000,22.800000,22.818412,5.400000
0.180000, 0.780000,23.400000,22.539009,5.400000
0.180000, 0.800000,24.000000,22.238909,5.400000
0.180000, 0.820000,24.600000,21.918112,5.400000
0.180000, 0.840000,25.200000,21.576619,5.400000
0.180000, 0.860000,25.800000,21.214430,5.400000
0.180000, 0.880000,26.400000,20.831544,5.400000
0.180000, 0.900000,27.000000,20.427961,5.400000
0.180000, 0.920000,27.600000,20.003682,5.400000
0.180000, 0.940000,28.200000,19.558706,5.400000
0.180000, 0.960000,28.800000,19.093034,5.400000
0.180000, 0.980000,29.400000,18.606665,5.400000
0.180000, 1.000000,30.000000,18.099600,5.400000
0.200000, 0.000000,0.000000,18.360000,6.000000
0.200000, 0.020000,0.600000,18.903312,6.000000
0.200000, 0.040000,1.200000,19.424448,6.000000
0.200000, 0.060000,1.800000,19.923408,6.000000
0.200000, 0.080000,2.400000,20.400192,6.000000
0.200000, 0.100000,3.000000,20.854800,6.000000
0.200000, 0.120000,3.600000,21.287232,6.000000
0.200000, 0.140000,4.200000,21.697488,6.000000
0.200000, 0.160000,4.800000,22.085568,6.000000
0.200000, 0.180000,5.400000,22.451472,6.000000
0.200000, 0.200000,6.000000,22.795200,6.000000
0.200000, 0.220000,6.600000,23.116752,6.000000
0.200000, 0.240000,7.200000,23.416128,6.000000
0.200000, 0.260000,7.800000,23.693328,6.000000
0.200000, 0.280000,8.400000,23.948352,6.000000
0.200000, 0.300000,9.000000,24.181200,6.000000
0.200000, 0.320000,9.600000,24.391872,6.000000
0.200000, 0.340000,10.200000,24.580368,6.000000
0.200000, 0.360000,10.800000,24.746688,6.000000
0.200000, 0.380000,11.400000,24.890832,6.000000
0.200000, 0.400000,12.000000,25.012800,6.000000
0.200000, 0.420000,12.600000,25.112592,6.000000
0.200000, 0.440000,13.200000,25.190208,6.000000
0.200000, 0.460000,13.800000,25.245648,6.000000
0.200000, 0.480000,14.400000,25.278912,6.000000
0.200000, 0.500000,15.000000,25.290000,6.000000
